               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  86,              1.2588,               1.202,              2.0323,             0.88452,             0.93274,             0.97633,             0.69241,                   0,                   0,                   0,            0.007195,            0.007195,            0.007195
                  87,              1.2559,              1.2977,              2.0376,             0.93333,             0.95963,               0.995,              0.7008,                   0,                   0,                   0,            0.007162,            0.007162,            0.007162
                  88,              1.2581,              1.1861,              2.0363,             0.96108,             0.95968,               0.995,             0.66751,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  89,              1.2244,              1.1999,              2.0281,             0.97239,             0.94914,               0.995,             0.72267,                   0,                   0,                   0,            0.007096,            0.007096,            0.007096
                  90,              1.3014,              1.2136,              2.0607,             0.95524,             0.93281,             0.98722,             0.65772,                   0,                   0,                   0,            0.007063,            0.007063,            0.007063
                  91,              1.2749,              1.2253,              2.0355,             0.96206,             0.95709,               0.995,             0.72694,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  92,              1.2679,              1.2221,              2.0221,             0.95295,             0.95403,             0.98722,             0.73266,                   0,                   0,                   0,            0.006997,            0.006997,            0.006997
                  93,              1.2198,              1.1778,               2.001,             0.95749,             0.91635,              0.9845,             0.71919,                   0,                   0,                   0,            0.006964,            0.006964,            0.006964
                  94,              1.2755,              1.2169,              2.0601,              0.8995,              0.8803,             0.97167,              0.6789,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  95,              1.2589,              1.2691,                2.04,             0.87808,             0.92173,              0.9775,             0.69012,                   0,                   0,                   0,            0.006898,            0.006898,            0.006898
                  96,              1.2841,              1.2014,              2.0348,             0.92229,             0.91728,             0.98722,             0.69415,                   0,                   0,                   0,            0.006865,            0.006865,            0.006865
                  97,              1.2573,              1.1635,              2.0138,             0.87165,              0.9373,              0.9845,             0.66341,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  98,              1.2897,               1.201,              2.0401,             0.96299,             0.94524,             0.98722,              0.6632,                   0,                   0,                   0,            0.006799,            0.006799,            0.006799
                  99,              1.2512,              1.1378,              1.9865,             0.96367,             0.89161,             0.97944,             0.71599,                   0,                   0,                   0,            0.006766,            0.006766,            0.006766
                 100,              1.2256,              1.1703,              1.9938,              0.9448,             0.92857,             0.97542,             0.70669,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                 101,              1.2206,              1.1756,              2.0132,             0.95496,             0.93291,               0.995,             0.71712,                   0,                   0,                   0,              0.0067,              0.0067,              0.0067
                 102,              1.2338,              1.1712,              2.0037,             0.92593,             0.95439,             0.98625,             0.69164,                   0,                   0,                   0,            0.006667,            0.006667,            0.006667
                 103,               1.251,              1.1459,              2.0215,             0.94039,             0.97305,               0.995,              0.7437,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                 104,               1.223,              1.1718,              1.9972,             0.97031,             0.97895,               0.995,             0.67257,                   0,                   0,                   0,            0.006601,            0.006601,            0.006601
                 105,              1.2234,              1.1389,              1.9859,             0.93201,             0.91839,              0.9795,             0.66492,                   0,                   0,                   0,            0.006568,            0.006568,            0.006568
                 106,              1.2194,              1.2041,              1.9944,             0.96665,             0.88124,             0.98222,             0.73333,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                 107,              1.2032,              1.1598,              1.9844,             0.95901,             0.94157,             0.99063,             0.68833,                   0,                   0,                   0,            0.006502,            0.006502,            0.006502
                 108,               1.205,              1.1409,              2.0115,             0.98102,             0.93068,              0.9845,             0.76623,                   0,                   0,                   0,            0.006469,            0.006469,            0.006469
                 109,              1.2139,               1.138,              1.9973,             0.96058,             0.92446,              0.9701,             0.72944,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                 110,              1.2048,              1.1541,              1.9836,             0.95556,              0.9852,               0.995,             0.74533,                   0,                   0,                   0,            0.006403,            0.006403,            0.006403
                 111,               1.204,              1.0899,              1.9717,             0.96806,             0.95871,             0.98722,             0.73397,                   0,                   0,                   0,             0.00637,             0.00637,             0.00637
                 112,              1.2011,              1.1265,              1.9919,             0.98081,             0.97079,               0.995,             0.71903,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                 113,              1.1986,              1.1247,              1.9969,             0.96318,             0.96917,               0.995,             0.71938,                   0,                   0,                   0,            0.006304,            0.006304,            0.006304
                 114,              1.1952,              1.0954,              1.9769,              0.9658,             0.96236,               0.995,             0.69268,                   0,                   0,                   0,            0.006271,            0.006271,            0.006271
                 115,              1.1946,              1.1158,              1.9623,             0.95043,             0.93068,             0.99063,             0.69418,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                 116,              1.2128,              1.1052,              1.9532,             0.94873,             0.96644,               0.995,             0.69528,                   0,                   0,                   0,            0.006205,            0.006205,            0.006205
                 117,              1.1948,              1.1311,              1.9694,             0.96313,             0.88532,             0.97944,             0.68342,                   0,                   0,                   0,            0.006172,            0.006172,            0.006172
                 118,              1.1392,              1.0685,              1.9171,             0.95298,             0.97091,               0.995,             0.68024,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                 119,              1.1823,              1.0826,              1.9628,             0.85383,             0.88267,             0.95125,             0.67518,                   0,                   0,                   0,            0.006106,            0.006106,            0.006106
                 120,              1.2033,              1.1016,              1.9629,             0.88289,             0.97502,             0.98625,              0.7365,                   0,                   0,                   0,            0.006073,            0.006073,            0.006073
                 121,              1.1931,              1.0891,              1.9671,             0.92518,                   1,               0.995,             0.75317,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                 122,              1.1699,              1.0567,              1.9549,             0.93365,                   1,               0.995,             0.67229,                   0,                   0,                   0,            0.006007,            0.006007,            0.006007
                 123,              1.1986,              1.0923,              1.9787,             0.95504,             0.94414,               0.995,             0.74245,                   0,                   0,                   0,            0.005974,            0.005974,            0.005974
                 124,              1.1552,              1.0542,              1.9229,             0.98366,             0.93394,               0.995,             0.67011,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                 125,               1.159,              1.0384,              1.9461,             0.96659,             0.98945,               0.995,             0.70187,                   0,                   0,                   0,            0.005908,            0.005908,            0.005908
                 126,              1.2086,              1.0686,              1.9771,             0.96107,             0.92857,              0.9795,             0.71314,                   0,                   0,                   0,            0.005875,            0.005875,            0.005875
